Financial Year,Bag Number,Status Description,Blood Group,RH,Blood Classification,Stock Creation Date,Stock Issue Date,Expiry Date
2017-2018,112PR,Issued,A,POSITIVE,PACKED RED CELLS,01-01-2018,03-01-2018,09-02-2018
2017-2018,118PR,Issued,A,POSITIVE,PACKED RED CELLS,31-12-2017,31-12-2017,29-01-2018
2017-2018,163PR,Issued,O,POSITIVE,PACKED RED CELLS,27-03-2018,31-03-2018,07-05-2018
2017-2018,7728PL,Issued,B,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7728CY,Expired,B,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7730PL,Issued,B,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7730CY,Expired,B,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7731CY,Expired,O,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7731PL,Issued,O,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7736PL,Issued,O,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7741PL,Issued,A,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7743PL,Issued,A,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7743CY,Expired,A,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7749PL,Issued,B,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7754PL,Issued,O,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7754CY,Expired,O,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7755CY,Expired,B,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7755PL,Issued,B,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7763CY,Expired,O,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7763PL,Issued,O,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7764CY,Expired,O,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7764PL,Issued,O,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7765PL,Issued,B,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7766PL,Issued,B,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7766CY,Expired,B,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7767PT,Expired,B,POSITIVE,PLATELETS,02-10-2017,NA,08-10-2017
2017-2018,7768PL,Issued,B,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7768CY,Expired,B,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7771CY,Expired,O,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7771PL,Issued,O,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7772CY,Expired,O,POSITIVE,CRYO,02-10-2017,NA,02-10-2018
2017-2018,7772PL,Issued,O,POSITIVE,PLASMA,02-10-2017,22-10-2017,02-10-2018
2017-2018,7773,Expired,O,POSITIVE,WHOLE BLOOD,02-10-2017,NA,05-11-2017
2017-2018,7773,Expired,O,POSITIVE,WHOLE BLOOD,02-10-2017,NA,05-11-2017
